?uuid,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta
1,27/05/19,27/05/19,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2,31/05/19,13/06/19,14,3,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RN
3,26/04/19,10/06/19,46,5,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,19/05/19,19/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
5,05/06/19,10/06/19,6,2,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PV
6,06/06/19,06/06/19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,15/05/19,20/05/19,6,2,2,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FI
8,15/06/19,15/06/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
9,16/06/19,16/06/19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ITA-MB
10,07/04/18,15/06/19,435,276,1,226,131,0,69,0,1,0,2,0,0,0,0,11,0,0,0,0,0,0,0,ITA-MI
11,29/05/19,29/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
12,18/03/19,11/06/19,86,6,5,128,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
13,23/05/19,23/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,01/03/19,15/06/19,107,34,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BA
15,08/04/19,06/06/19,60,5,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-LI
16,13/06/19,13/06/19,1,1,2,86,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,22/05/19,22/05/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BA
18,03/05/19,02/06/19,31,7,2,86,144,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,ITA-BG
19,25/05/19,25/05/19,1,1,2,11,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ITA-GE
20,14/03/19,10/06/19,89,12,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ITA-PC
21,06/05/19,27/05/19,22,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
22,11/06/19,11/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BR
23,04/06/19,15/06/19,12,8,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FR
24,20/05/19,20/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,08/06/19,15/06/19,8,2,2,220,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VE
26,07/04/19,27/05/19,51,6,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
27,15/05/19,25/05/19,11,3,1,,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
28,25/10/18,20/05/19,208,107,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FG
29,26/03/19,12/06/19,79,76,1,128,131,2,0,0,18,0,1,0,0,0,0,6,2,1,3,0,0,2,26,ITA-MN
30,30/05/19,30/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-LC
31,02/06/19,02/06/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,11/06/19,11/06/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FI
33,05/05/19,16/06/19,43,31,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ITA-BG
34,13/06/19,13/06/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
35,26/05/19,26/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BO
36,07/06/19,07/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
37,27/05/19,27/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
38,17/05/19,17/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,13/06/19,13/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BS
40,07/05/19,31/05/19,25,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,15/06/19,15/06/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
42,19/05/19,19/05/19,1,1,2,253,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
43,13/10/18,14/06/19,245,124,1,173,133,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,
44,06/05/19,14/06/19,40,15,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
45,07/02/19,13/06/19,127,37,1,173,133,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,ITA-FE
46,19/05/19,19/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
47,28/05/19,28/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PD
48,14/06/19,14/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
49,22/03/19,28/05/19,68,9,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,11/06/19,11/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
51,10/06/19,10/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,17/05/19,08/06/19,23,2,2,156,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,14/06/19,14/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CE
54,02/11/17,16/06/19,592,206,1,,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BO
55,31/05/19,31/05/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BO
56,29/05/19,29/05/19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,21/05/19,29/05/19,9,4,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-IS
58,16/06/19,16/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,10/06/19,10/06/19,1,1,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FC
60,27/05/19,16/06/19,21,3,2,86,144,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,ITA-MI
61,20/03/19,14/06/19,87,41,1,173,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
62,07/04/19,14/06/19,69,32,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SP
63,15/06/19,15/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
64,16/05/19,16/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
65,15/06/19,15/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
66,05/06/19,05/06/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,16/05/19,16/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PV
68,13/05/19,19/05/19,7,2,2,86,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,12/06/19,12/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-OR
70,16/05/19,16/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FG
71,05/06/17,15/06/19,741,354,1,173,133,2,0,0,3,0,0,0,0,1,1,0,0,0,3,1,0,0,1,ITA-MI
72,12/06/19,12/06/19,1,1,2,156,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,27/05/19,27/05/19,1,1,2,156,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
74,24/04/19,24/05/19,31,7,2,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
75,25/05/19,26/05/19,2,2,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SI
76,13/06/19,13/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VA
77,09/02/19,01/06/19,113,70,1,173,133,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
78,15/06/19,16/06/19,2,2,5,226,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RE
79,26/05/19,26/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,15/02/19,29/05/19,104,39,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,ITA-MI
81,07/06/19,07/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VI
82,27/05/19,03/06/19,8,3,2,86,144,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,ITA-TO
83,16/06/19,16/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BS
84,12/05/19,29/05/19,18,2,2,219,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-UD
85,17/05/19,17/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SI
86,06/06/19,11/06/19,6,2,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
87,14/06/19,14/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CB
88,07/05/19,14/06/19,39,19,2,86,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,ITA-FI
89,07/05/19,16/06/19,41,3,,,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
90,21/06/18,14/06/19,359,65,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
91,07/04/19,15/06/19,70,16,2,86,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PA
92,14/06/19,14/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,11/06/19,11/06/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,06/06/19,06/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MB
95,05/06/19,08/06/19,4,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PA
96,15/06/19,15/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TV
97,08/06/19,15/06/19,8,2,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SA
98,24/05/19,27/05/19,4,4,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,05/06/19,05/06/19,1,1,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BS
100,18/05/19,18/05/19,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ITA-BG
101,25/05/19,25/05/19,1,1,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BZ
102,04/06/19,16/06/19,13,2,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,31/05/19,16/06/19,17,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CT
104,01/06/19,01/06/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CO
105,24/05/19,24/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
106,04/06/19,16/06/19,13,3,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,12/03/19,07/06/19,88,12,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,17/05/19,17/05/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
109,26/03/19,13/06/19,80,15,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FC
110,17/05/19,17/05/19,1,1,2,86,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,19/05/19,10/06/19,23,4,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BG
112,04/05/19,19/05/19,16,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
113,05/05/19,10/06/19,37,5,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ITA-TO
114,12/06/19,13/06/19,2,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PR
115,30/06/18,04/06/19,340,67,1,228,131,0,6,1,0,0,1,17,1,0,0,2,1,0,0,0,0,0,4,ITA-MI
116,24/05/19,08/06/19,16,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PA
117,12/06/19,15/06/19,4,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BS
118,21/05/19,21/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
119,03/06/19,03/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
120,09/04/19,02/06/19,55,7,1,173,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ITA-MN
121,12/06/19,12/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TV
122,22/05/19,14/06/19,24,4,2,156,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PN
123,10/06/19,10/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
124,06/06/19,06/06/19,1,1,1,33,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
125,30/05/19,30/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PC
126,02/06/19,03/06/19,2,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
127,10/01/19,16/06/19,158,57,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
128,12/06/19,12/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,04/06/19,04/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
130,18/12/18,06/06/19,171,27,2,86,124,0,0,2,0,0,40,2,0,0,0,0,0,0,0,2,0,0,0,ITA-RM
131,07/06/19,08/06/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SA
132,17/12/17,13/06/19,544,177,1,,131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VE
133,22/06/18,16/06/19,360,293,,,,2,3,0,7,5,2,0,0,9,0,0,0,0,9,0,0,0,3,ITA-MI
134,11/05/19,12/06/19,33,4,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,11/04/19,16/06/19,67,28,1,173,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ITA-NA
136,16/05/19,16/05/19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,16/05/19,20/05/19,5,3,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
138,31/05/19,05/06/19,6,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FG
139,09/06/17,14/06/19,736,224,2,251,144,0,0,0,0,1,1,0,0,0,0,1,6,0,3,0,0,0,0,ITA-MI
140,19/05/19,19/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
141,03/06/19,03/06/19,1,1,2,253,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,10/06/19,11/06/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-ME
143,08/06/19,08/06/19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-AG
144,21/04/19,15/06/19,56,4,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PI
145,24/04/19,20/05/19,27,3,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-GR
146,16/05/19,16/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-LT
147,31/05/19,13/06/19,14,4,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
148,18/05/19,18/05/19,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
149,15/05/19,16/05/19,2,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
150,28/03/19,15/06/19,80,9,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,28/05/19,02/06/19,6,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NO
152,23/05/19,23/05/19,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
153,27/05/19,27/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
154,04/06/19,04/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
155,18/05/19,25/05/19,8,3,2,251,144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
156,19/05/19,19/05/19,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PN
157,20/05/19,20/05/19,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,11/06/19,11/06/19,1,1,5,228,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,01/03/19,15/06/19,107,15,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
160,26/04/19,04/06/19,40,5,1,225,131,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,23/05/19,26/05/19,4,2,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,28/05/19,28/05/19,1,1,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TP
163,11/06/19,11/06/19,1,1,5,228,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
164,15/06/19,15/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
165,14/08/18,14/06/19,305,72,2,11,144,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BG
166,18/01/18,12/06/19,511,186,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
167,06/12/17,16/06/19,558,269,,,,2,2,0,3,2,0,3,0,1,0,0,1,0,7,0,0,0,2,ITA-CB
168,19/01/19,06/06/19,139,31,1,173,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ITA-RM
169,26/05/19,26/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CN
170,31/05/19,10/06/19,11,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,18/06/18,27/05/19,344,66,2,86,144,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,ITA-MI
172,01/06/19,01/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,12/06/19,12/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PA
174,18/04/19,17/05/19,30,2,2,255,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PI
175,27/05/19,16/06/19,21,9,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ITA-NA
176,02/04/19,06/06/19,66,47,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,10/06/19,10/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BA
178,28/04/19,20/05/19,23,4,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CZ
179,05/06/19,05/06/19,1,1,2,156,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SA
180,22/05/19,01/06/19,11,5,2,11,144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TA
181,17/05/19,17/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SV
182,06/06/19,06/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CS
183,18/05/19,18/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PC
184,23/05/19,11/06/19,20,2,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
185,11/01/19,23/05/19,133,15,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BO
186,03/06/19,03/06/19,1,1,2,86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
187,18/05/19,18/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,01/06/17,15/06/19,745,286,2,251,144,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,
189,29/05/19,29/05/19,1,1,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,27/05/19,29/05/19,3,2,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
191,03/04/19,02/06/19,61,6,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-AV
192,16/06/19,16/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193,15/06/19,15/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,20/05/19,20/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,ITA-BN
195,17/08/18,04/06/19,292,52,2,86,124,3,7,0,5,0,0,1,0,0,0,11,0,0,0,0,0,0,0,ITA-PR
196,14/04/19,09/06/19,57,14,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CO
197,14/05/19,06/06/19,24,5,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
198,08/12/18,22/05/19,166,45,5,128,132,0,0,0,0,0,0,6,0,2,0,1,0,0,0,1,0,0,0,ITA-FI
199,11/06/19,11/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RA
200,15/06/19,15/06/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,05/06/19,10/06/19,6,2,1,128,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
202,27/01/19,11/06/19,136,24,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ITA-RM
203,01/06/17,09/06/19,739,610,,,,13,1,0,5,0,8,0,1,0,1,8,3,0,2,17,0,0,0,ITA-RM
204,17/05/19,17/05/19,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,19/01/19,11/06/19,144,12,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
206,02/02/19,15/06/19,134,32,1,173,133,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,ITA-FI
207,11/06/19,11/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
208,30/08/18,05/06/19,280,37,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VA
209,15/06/19,16/06/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
210,29/04/19,23/05/19,25,7,2,11,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BG
211,10/06/19,10/06/19,1,1,2,251,144,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FI
